name,Team,team,liga,PrimaryPos,ifi_min,Layer_speed,Layer_burst,Layer_otip,Layer_bip,physical score,sc_profile,OBV_Total Impact,OBV_Impact per 90,OBV_Shooting,OBV_Final Ball,OBV_Pen Area,OBV_Carries,OBV_Buildup Pass,OBV_Defense,position,pct_ballprogression,pct_build_up,pct_vertikalitaet,pct_ballsicherheit,pct_proaktives_verteidigen,pct_reaktives_verteidigen,pct_kopfball_defensiv,pct_kopfball_offensiv,pct_clean_defending,pct_buildup,pct_flankenspiel,pct_kreativitaet,pct_zweikampfdef,pct_offensives1v1,pct_ballgewinnen,pct_dribbling,pct_torgefahr,pct_pressing,pct_vorlagengeber,pct_reaktivesverteidigen,pct_poaching,pct_abschlussprofil,pct_zielspieler,pct_balltreiben,name_norm,team_norm,Fit_Kompletter IV,Fit_Spielaufbauender IV,Fit_Absichernder IV,Fit_Physischer IV,Fit_Einfacher/Direkter IV,Index_Kompletter IV,Index_Spielaufbauender IV,Index_Absichernder IV,Index_Physischer IV,Index_Einfacher/Direkter IV,Fit_Einfacher AV,Fit_Spielaufbauender AV,Fit_Defensiver AV,Fit_Kompletter AV,Fit_Dribbelstarker AV,Index_Einfacher AV,Index_Spielaufbauender AV,Index_Defensiver AV,Index_Kompletter AV,Index_Dribbelstarker AV,Fit_Dribbelspezialist,Fit_Einfacher Flügelspieler,Fit_Kompletter Flügelspieler,Fit_Kreativer Flügelspieler,Fit_Pressing-Flügelspieler,Index_Dribbelspezialist,Index_Einfacher Flügelspieler,Index_Kompletter Flügelspieler,Index_Kreativer Flügelspieler,Index_Pressing-Flügelspieler,Fit_Ballgewinnender 6er,Fit_Kreativer 8er/10er,Fit_Unauffälliger 8er,Fit_Torgefährlicher 10er,Fit_Einfacher Mittelfeldspieler,Fit_Spielaufbauender 6er,Index_Ballgewinnender 6er,Index_Kreativer 8er/10er,Index_Unauffälliger 8er,Index_Torgefährlicher 10er,Index_Einfacher Mittelfeldspieler,Index_Spielaufbauender 6er,Fit_Einfacher Stürmer,Fit_Kreativer Stürmer,Fit_Pressender Stürmer,Fit_Kompletter Knipser,Fit_Zielspieler,Index_Einfacher Stürmer,Index_Kreativer Stürmer,Index_Pressender Stürmer,Index_Kompletter Knipser,Index_Zielspieler,sc_liga,sc_pos,sc_min
B. Heynen,Genk,Genk,Jupiler Pro League (Belgien),LDMF,3926,24.64080459770115,38.794695056777826,32.635467980295566,8.275862068965518,8.275862068965518,—,65.2,59.9,57.3,61.6,59.5,62.9,72.7,65.6,Midfielder,90.0,,96.25,83.75,,,,,,97.5,,70.0,75.0,,81.25,,65.0,,70.0,95.0,,,,,b. heynen,genk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6905055487053,53.2675709001233,23.45252774352651,7.570900123304562,11.54130702836005,99.53144266337854,1.253245333103753,0.6428675237424879,0.8881261474644457,0.29635248566137107,1.306346017922185,1.5058417766835444,,,,,,,,,,,Jupiler Pro League (Belgien),Midfielder,3926
E. Pletinckx,OH Leuven,OH Leuven,Jupiler Pro League (Belgien),RCB,3880,84.72686733556299,71.02450602416529,64.88294314381271,77.12374581939798,64.88294314381271,Emerging Talent,53.7,51.6,56.3,52.3,56.1,44.0,63.0,52.4,Central Defender,22.61904761904762,36.904761904761905,69.04761904761905,34.523809523809526,52.38095238095239,23.809523809523807,57.14285714285714,95.23809523809523,73.80952380952381,,,,,,,,,,,,,,,,e. pletinckx,oh leuven,47.9,49.9,55.6,93.5,85.3,46.16735707142658,45.303018685638094,38.593849372577225,60.939784355790565,69.04761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3880
M. Smets,Genk,Genk,Jupiler Pro League (Belgien),LCB,3856,55.51839464882943,85.18026984600516,67.55852842809365,39.7324414715719,39.7324414715719,Emerging Talent,59.8,52.5,48.4,52.9,52.0,59.3,73.4,60.0,Central Defender,97.61904761904762,98.80952380952381,3.571428571428571,91.66666666666666,79.76190476190477,96.42857142857143,52.38095238095239,29.761904761904763,95.23809523809523,,,,,,,,,,,,,,,,m. smets,genk,44.8,32.3,22.0,0.8,0.2,78.82825828503218,79.83979988401552,93.7082346300395,53.013542429566314,3.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3856
V. van Dijk,Liverpool,Liverpool,Premier League England,LCB,3854,47.15719063545151,96.79384640165614,69.37410415671285,51.70568561872909,47.15719063545151,Emerging Talent,68.2,58.8,58.7,52.4,57.6,77.5,75.3,69.7,Central Defender,92.3076923076923,90.10989010989012,59.34065934065934,75.82417582417582,35.16483516483517,59.34065934065934,95.6043956043956,100.0,23.076923076923077,,,,,,,,,,,,,,,,v. van dijk,liverpool,93.3,33.8,10.9,30.9,5.3,84.1795932675393,72.30154209258933,61.363628016829054,75.15483120941292,59.34065934065934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Central Defender,3854
B. Reynolds,Rennes,Westerlo,Jupiler Pro League (Belgien),RB,3832,86.24862486248624,97.83686551543694,82.03677510608205,91.02310231023102,82.03677510608205,Complete Athlete,,,,,,,,,Fullback,80.95238095238095,,63.49206349206349,,,,,,,49.2063492063492,58.730158730158735,68.25396825396825,38.095238095238095,50.79365079365079,23.809523809523807,,,,,,,,,,b. reynolds,westerlo,,,,,,,,,,,72.6134585289515,59.18622848200313,46.635367762128325,96.87010954616588,94.46009389671362,0.3859575672149995,-0.21308408904780576,-0.2372270837023609,0.48364205391230514,0.4420513184610778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Fullback,3832
B. Mechele,Club Brugge,Club Brugge,Jupiler Pro League (Belgien),LCB,3786,72.12931995540691,42.376349968690164,82.7998088867654,64.0133779264214,42.376349968690164,Emerging Talent,58.6,61.2,57.8,51.4,56.5,66.6,73.7,59.5,Central Defender,96.42857142857143,97.61904761904762,36.904761904761905,95.23809523809523,58.333333333333336,77.38095238095238,78.57142857142857,97.61904761904762,58.333333333333336,,,,,,,,,,,,,,,,b. mechele,club brugge,93.5,37.8,18.7,15.6,1.4,89.92330761459984,78.35076410187489,83.27767541606234,73.00082145180556,36.904761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3786
J. Garner,Everton,Everton,Premier League England,LDMF,3776,63.86494252873563,91.13729618444366,73.46059113300494,64.13793103448276,63.86494252873563,Emerging Talent,60.1,52.9,51.2,63.0,49.8,53.6,57.6,60.5,Midfielder,52.293577981651374,,74.31192660550458,43.11926605504588,,,,,,66.05504587155964,,66.97247706422019,94.4954128440367,,91.74311926605505,,33.94495412844037,,75.22935779816514,46.788990825688074,,,,,j. garner,everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.31565967940814,65.54870530209618,78.3723797780518,38.81627620221948,51.93588162762022,81.87422934648582,0.6764794247861463,0.17545271953946814,0.20188615496229745,-0.35418378224126734,0.18977956021504977,0.23804396975584236,,,,,,,,,,,Premier League England,Midfielder,3776
A. Truffert,Bournemouth,Bournemouth,Premier League England,LB,3776,90.31903190319031,91.96672080865858,74.44601603017445,95.51155115511553,74.44601603017445,Complete Athlete,53.6,50.0,50.1,54.3,55.0,56.0,53.7,67.5,Fullback,85.71428571428571,,62.857142857142854,,,,,,,78.57142857142857,87.14285714285714,60.0,81.42857142857143,70.0,70.0,,,,,,,,,,a. truffert,bournemouth,,,,,,,,,,,75.11737089201877,77.90297339593114,70.04694835680752,93.67762128325509,97.30829420970267,0.7657989518998952,-0.11526508733685775,0.5263366271125784,0.25651367156728494,0.3107954595509625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Fullback,3776
K. Boateng,Al Fateh,Dinamo Bucureşti,Superliga Rumänien,RCB,3770,47.15719063545151,79.1713996784189,56.09173435260391,42.14046822742474,42.14046822742474,Emerging Talent,,,,,,,,,Central Defender,7.6923076923076925,43.58974358974359,15.384615384615385,92.3076923076923,38.46153846153847,26.923076923076923,98.71794871794873,94.87179487179486,14.102564102564102,,,,,,,,,,,,,,,,k. boateng,dinamo bucureşti,46.1,1.5,44.2,41.9,11.0,60.37870927491093,20.97722731162184,58.93558467014769,66.16075238291492,15.384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superliga Rumänien,Central Defender,3770
C. Keita,Charleroi,Charleroi,Jupiler Pro League (Belgien),LCB,3763,71.23745819397993,91.46530040764742,77.59197324414716,72.17391304347827,71.23745819397993,Complete Athlete,46.8,46.6,52.8,47.9,51.7,47.5,48.2,46.8,Central Defender,8.333333333333332,10.714285714285714,25.0,75.0,2.380952380952381,67.85714285714286,26.190476190476193,82.14285714285714,50.0,,,,,,,,,,,,,,,,c. keita,charleroi,18.4,10.6,86.2,37.7,56.0,34.64766860752642,20.090392188390744,68.34145011418894,37.923322440874706,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3763
